prompt_len,output_len,repeat_id,ttft_ms,total_latency_ms,decode_total_ms,tpot_ms,tokens_per_second,backend,ttft_method,success,error_msg,data_source
256,1,0,52.8714656829834,52.8714656829834,0.0,nan,18.913793803182735,vllm,offline_proxy,True,,measured
256,1,1,51.14912986755371,51.14912986755371,0.0,nan,19.550674715081456,vllm,offline_proxy,True,,measured
256,1,2,50.931453704833984,50.931453704833984,0.0,nan,19.63423242924418,vllm,offline_proxy,True,,measured
256,1,3,51.99074745178223,51.99074745178223,0.0,nan,19.23419164010731,vllm,offline_proxy,True,,measured
256,1,4,51.888465881347656,51.888465881347656,0.0,nan,19.27210571780404,vllm,offline_proxy,True,,measured
256,32,0,50.50063133239746,761.0369944013655,710.5363630689681,22.920527840934454,42.04789022795313,vllm,offline_proxy,True,,measured
256,32,1,50.2011775970459,760.9277055598795,710.7265279628336,22.926662192349472,42.053929389329916,vllm,offline_proxy,True,,measured
256,32,2,50.34613609313965,761.1057739704847,710.7596378773451,22.927730254107907,42.04409044627868,vllm,offline_proxy,True,,measured
256,32,3,49.80587959289551,760.5429822579026,710.7371026650071,22.927003311774424,42.07520251517973,vllm,offline_proxy,True,,measured
256,32,4,48.78091812133789,759.6944151446223,710.9134970232844,22.932693452364013,42.12219987678623,vllm,offline_proxy,True,,measured
256,64,0,50.21047592163086,1493.7521228566766,1443.5416469350457,22.913359475159456,42.84512739476837,vllm,offline_proxy,True,,measured
256,64,1,48.42495918273926,1492.0209920965135,1443.5960329137743,22.914222744663082,42.89483883874207,vllm,offline_proxy,True,,measured
256,64,2,51.24044418334961,1494.7013445198536,1443.460900336504,22.91207778311911,42.817918264841644,vllm,offline_proxy,True,,measured
256,64,3,49.55649375915527,1493.0539126507938,1443.4974188916385,22.91265744272442,42.8651634463576,vllm,offline_proxy,True,,measured
256,64,4,50.09126663208008,1493.6799104325473,1443.5886438004673,22.914105457150274,42.84719875590116,vllm,offline_proxy,True,,measured
256,128,0,50.99320411682129,2959.9837460555136,2908.9905419386923,22.90543733809994,43.243480701734704,vllm,offline_proxy,True,,measured
256,128,1,50.84061622619629,2959.698684513569,2908.8580682873726,22.90439423848325,43.24764567074064,vllm,offline_proxy,True,,measured
256,128,2,49.68667030334473,2958.4923833608627,2908.805713057518,22.90398199257888,43.26527954572299,vllm,offline_proxy,True,,measured
256,128,3,50.890207290649414,2959.419248625636,2908.5290413349867,22.901803475078637,43.25172922337503,vllm,offline_proxy,True,,measured
256,128,4,50.4612922668457,2959.0540435165167,2908.592751249671,22.902305127950164,43.25706733219573,vllm,offline_proxy,True,,measured
256,256,0,49.358367919921875,5889.315481297672,5839.95711337775,22.90179260148137,43.468549241921764,vllm,offline_proxy,True,,measured
256,256,1,49.515724182128906,5889.761459082365,5840.245734900236,22.90292445058916,43.46525776612441,vllm,offline_proxy,True,,measured
256,256,2,50.63176155090332,5890.600466635078,5839.968705084175,22.901838059153626,43.45906694062997,vllm,offline_proxy,True,,measured
256,256,3,48.32959175109863,5888.282564468682,5839.952972717583,22.901776363598366,43.47617445276247,vllm,offline_proxy,True,,measured
256,256,4,49.21317100524902,5888.379421085119,5839.16625007987,22.898691176783803,43.475459323037974,vllm,offline_proxy,True,,measured
256,512,0,51.47147178649902,11760.640846099705,11709.169374313205,22.914225781434844,43.53504257974169,vllm,offline_proxy,True,,measured
256,512,1,50.90618133544922,11759.636625647545,11708.730444312096,22.91336681861467,43.53876027796112,vllm,offline_proxy,True,,measured
256,512,2,50.61459541320801,11759.364415425807,11708.7498200126,22.91340473583679,43.53976812967578,vllm,offline_proxy,True,,measured
256,512,3,49.94535446166992,11758.935153484344,11708.989799022675,22.913874362079596,43.541357556367416,vllm,offline_proxy,True,,measured
256,512,4,50.18448829650879,11760.132601018995,11709.948112722486,22.91574973135516,43.53692406118245,vllm,offline_proxy,True,,measured
512,1,0,85.71124076843262,85.71124076843262,0.0,nan,11.667081132353637,vllm,offline_proxy,True,,measured
512,1,1,82.50260353088379,82.50260353088379,0.0,nan,12.120829612675955,vllm,offline_proxy,True,,measured
512,1,2,78.30119132995605,78.30119132995605,0.0,nan,12.771197768704003,vllm,offline_proxy,True,,measured
512,1,3,82.42559432983398,82.42559432983398,0.0,nan,12.132153952064979,vllm,offline_proxy,True,,measured
512,1,4,82.43560791015625,82.43560791015625,0.0,nan,12.130680240629339,vllm,offline_proxy,True,,measured
512,32,0,81.61330223083496,792.5546471960843,710.9413449652493,22.933591773072557,40.37576476677065,vllm,offline_proxy,True,,measured
512,32,1,81.65621757507324,792.6220488734543,710.9658312983811,22.93438165478649,40.37233135954428,vllm,offline_proxy,True,,measured
512,32,2,80.02877235412598,791.327656712383,711.298884358257,22.94512530187926,40.438369275434994,vllm,offline_proxy,True,,measured
512,32,3,81.40325546264648,792.5025103613734,711.0992548987269,22.938685641894416,40.37842099125757,vllm,offline_proxy,True,,measured
512,32,4,81.07972145080566,792.2851732000709,711.2054517492652,22.94211134675049,40.389497471915,vllm,offline_proxy,True,,measured
512,64,0,82.74126052856445,1527.1657197736204,1444.424459245056,22.92737236896914,41.907698143910046,vllm,offline_proxy,True,,measured
512,64,1,81.01487159729004,1525.551242288202,1444.536370690912,22.929148741125587,41.95204869290738,vllm,offline_proxy,True,,measured
512,64,2,82.11636543273926,1526.767585426569,1444.6512199938297,22.930971745933807,41.91862639140247,vllm,offline_proxy,True,,measured
512,64,3,79.92053031921387,1524.4513810612261,1444.5308507420123,22.929061122889085,41.98231625822483,vllm,offline_proxy,True,,measured
512,64,4,80.1839828491211,1524.7661038301885,1444.5821209810674,22.92987493620742,41.973650804036765,vllm,offline_proxy,True,,measured
512,128,0,81.87246322631836,2993.559721391648,2911.6872581653297,22.926671324136453,42.758458795836304,vllm,offline_proxy,True,,measured
512,128,1,81.1605453491211,2992.721271235496,2911.5607258863747,22.92567500697933,42.770438139452025,vllm,offline_proxy,True,,measured
512,128,2,82.07130432128906,2993.808163329959,2911.73685900867,22.927061881958032,42.75491047416609,vllm,offline_proxy,True,,measured
512,128,3,82.15618133544922,2993.7091702595353,2911.552988924086,22.925614086016427,42.75632425206595,vllm,offline_proxy,True,,measured
512,128,4,82.85784721374512,2994.6990511380136,2911.8412039242685,22.92788349546668,42.74219139026968,vllm,offline_proxy,True,,measured
512,256,0,80.16657829284668,5929.083695169538,5848.917116876692,22.936929870104674,43.176992122503655,vllm,offline_proxy,True,,measured
512,256,1,82.20148086547852,5930.867969989777,5848.666489124298,22.935947016173717,43.16400251959095,vllm,offline_proxy,True,,measured
512,256,2,84.34343338012695,5933.183141052723,5848.839707672596,22.936626304598416,43.14715961297261,vllm,offline_proxy,True,,measured
512,256,3,80.91473579406738,5929.846625775099,5848.931889981031,22.93698780384718,43.17143699590002,vllm,offline_proxy,True,,measured
512,256,4,82.33308792114258,5931.089764926583,5848.75667700544,22.936300694138982,43.162388388362025,vllm,offline_proxy,True,,measured
512,512,0,82.74602890014648,11814.223492052406,11731.47746315226,22.957881532587592,43.33759221200019,vllm,offline_proxy,True,,measured
512,512,1,81.88390731811523,11813.94627969712,11732.062372379005,22.95902616903915,43.338609121652986,vllm,offline_proxy,True,,measured
512,512,2,82.86881446838379,11815.571947488934,11732.70313302055,22.960280103758414,43.33264629722907,vllm,offline_proxy,True,,measured
512,512,3,81.82382583618164,11814.388108439744,11732.564282603562,22.96000838082889,43.33698836541919,vllm,offline_proxy,True,,measured
512,512,4,82.26990699768066,11814.44851635024,11732.178609352559,22.959253638654715,43.33676678106756,vllm,offline_proxy,True,,measured
1024,1,0,157.15837478637695,157.15837478637695,0.0,nan,6.363008025243867,vllm,offline_proxy,True,,measured
1024,1,1,154.60658073425293,154.60658073425293,0.0,nan,6.468029984563594,vllm,offline_proxy,True,,measured
1024,1,2,153.55753898620605,153.55753898620605,0.0,nan,6.51221689668932,vllm,offline_proxy,True,,measured
1024,1,3,156.0041904449463,156.0041904449463,0.0,nan,6.410084223685638,vllm,offline_proxy,True,,measured
1024,1,4,154.8914909362793,154.8914909362793,0.0,nan,6.456132573553632,vllm,offline_proxy,True,,measured
1024,32,0,154.34837341308594,868.6129143461585,714.2645409330726,23.04079164300234,36.840345649348016,vllm,offline_proxy,True,,measured
1024,32,1,151.8871784210205,865.915643516928,714.0284650959074,23.033176293416368,36.95510092649623,vllm,offline_proxy,True,,measured
