timestamp,gpu_util,memory_used_mb,memory_total_mb
22.333678,100.0,44906.9375,49140.0
22.534358,100.0,44906.9375,49140.0
22.735006,100.0,44906.9375,49140.0
22.935857,100.0,44906.9375,49140.0
23.136664,100.0,44906.9375,49140.0
23.337479,100.0,44906.9375,49140.0
23.538193,100.0,44906.9375,49140.0
23.738815,100.0,44906.9375,49140.0
23.93955,100.0,44906.9375,49140.0
24.140434,100.0,44906.9375,49140.0
24.341125,100.0,44906.9375,49140.0
24.541887,100.0,44906.9375,49140.0
24.742563,100.0,44906.9375,49140.0
24.94333,100.0,44906.9375,49140.0
25.144268,65.0,44906.9375,49140.0
25.34502,100.0,44906.9375,49140.0
25.54607,100.0,44906.9375,49140.0
25.749971,100.0,44906.9375,49140.0
25.950876,100.0,44906.9375,49140.0
26.151677,100.0,44906.9375,49140.0
26.352509,100.0,44906.9375,49140.0
26.553158,100.0,44906.9375,49140.0
26.753968,100.0,44906.9375,49140.0
26.954798,100.0,44906.9375,49140.0
27.155442,100.0,44906.9375,49140.0
27.356015,100.0,44906.9375,49140.0
27.556673,100.0,44906.9375,49140.0
27.757441,100.0,44906.9375,49140.0
27.958271,100.0,44906.9375,49140.0
28.159134,100.0,44906.9375,49140.0
28.359807,100.0,44906.9375,49140.0
28.56052,100.0,44906.9375,49140.0
28.761232,100.0,44906.9375,49140.0
28.961951,100.0,44906.9375,49140.0
29.162736,100.0,44906.9375,49140.0
29.363408,100.0,44906.9375,49140.0
29.56415,100.0,44906.9375,49140.0
29.76522,100.0,44906.9375,49140.0
29.96634,100.0,44906.9375,49140.0
30.167348,100.0,44906.9375,49140.0
30.368366,100.0,44906.9375,49140.0
30.569203,100.0,44906.9375,49140.0
30.769934,100.0,44906.9375,49140.0
30.970593,100.0,44906.9375,49140.0
31.171604,100.0,44906.9375,49140.0
31.372541,100.0,44906.9375,49140.0
31.573316,100.0,44906.9375,49140.0
31.77401,100.0,44906.9375,49140.0
31.974778,100.0,44906.9375,49140.0
32.175404,100.0,44906.9375,49140.0
32.376078,100.0,44906.9375,49140.0
32.576712,100.0,44906.9375,49140.0
32.777348,100.0,44906.9375,49140.0
32.977972,100.0,44906.9375,49140.0
33.178584,100.0,44906.9375,49140.0
33.379197,100.0,44906.9375,49140.0
