workload_name,ratio_p,ratio_d,arrival_rate,kv_transfer_ms,num_requests,avg_ttft_ms,p95_ttft_ms,p99_ttft_ms,avg_tpot_ms,p95_tpot_ms,p99_tpot_ms,avg_total_latency_ms,p95_total_latency_ms,throughput_req_s,throughput_tok_s,goodput_req_s,prefill_util,decode_util,avg_prefill_queue_wait_ms,avg_decode_queue_wait_ms,data_source
mixed_70p30d,2,2,0.5,0.0,200,10406.4640506402,24942.833776689484,30325.628266303516,23.335133099892026,23.886028854619887,23.886028854619887,14134.651618519176,30984.79856968431,0.4714474557713566,76.63849841019173,0.09428949115427132,0.07459740188031122,0.8788222717574736,1.0289153320869104,10088.973985853994,simulated
mixed_70p30d,2,2,0.5,5.0,200,10411.464050640194,24947.833776689477,30330.628266303513,23.335133099892026,23.886028854619887,23.886028854619887,14139.651618519172,30989.798569684306,0.4714418992692578,76.63759514521054,0.09428837985385155,0.07459652267179064,0.8788119139164506,1.0289153320869104,10088.973985853994,simulated
mixed_70p30d,2,2,0.5,20.0,200,10426.4640506402,24962.833776689466,30345.628266303498,23.335133099892026,23.886028854619887,23.886028854619887,14154.65161851918,31004.7985696843,0.4714252305488038,76.63488547801354,0.09428504610976075,0.07459388517057323,0.8787808418582661,1.0289153320869104,10088.973985853998,simulated
mixed_70p30d,2,2,0.5,50.0,200,10456.464050640188,24992.83377668944,30375.62826630347,23.335133099892026,23.886028854619887,23.886028854619887,14184.651618519169,31034.79856968427,0.4713918966437707,76.62946671841136,0.09427837932875414,0.07458861072762195,0.8787187043330995,1.0289153320869104,10088.973985853978,simulated
mixed_70p30d,2,2,1.0,0.0,200,72888.22416786464,162392.47773672297,166592.89754963157,23.335133099892026,23.886028854619887,23.886028854619887,76616.41173574362,164438.63458493605,0.531106858619905,86.33673093725176,0.02655534293099525,0.08403734348091012,0.9900329937609945,3.2218765640305946,72568.5411418465,simulated
mixed_70p30d,2,2,1.0,5.0,200,72893.22416786464,162397.47773672297,166597.89754963157,23.335133099892026,23.886028854619887,23.886028854619887,76621.41173574362,164443.63458493605,0.5310998068511542,86.33558460172364,0.026554990342557712,0.08403622767548785,0.9900198486027004,3.2218765640305946,72568.5411418465,simulated
mixed_70p30d,2,2,1.0,20.0,200,72908.22416786464,162412.47773672297,166612.89754963154,23.335133099892026,23.886028854619887,23.886028854619887,76636.41173574363,164458.63458493605,0.5310786526684151,86.33214577777757,0.02655393263342076,0.08403288043699515,0.9899804152221521,3.2218765640305946,72568.5411418465,simulated
mixed_70p30d,2,2,1.0,50.0,200,72938.22416786465,162442.477736723,166642.89754963157,23.335133099892026,23.886028854619887,23.886028854619887,76666.41173574363,164488.63458493608,0.5310363493580749,86.32526895164865,0.026551817467903742,0.08402618675988716,0.9899015578843068,3.2218765640305946,72568.54114184651,simulated
mixed_70p30d,2,2,2.0,0.0,200,120706.91369211322,255963.10870121839,263684.11956558254,23.335133099892026,23.886028854619887,23.886028854619887,124435.1012599922,257640.1532960038,0.5340161309713832,86.80966225070804,0.010680322619427663,0.08449767931712206,0.995456150267172,13.983682192499396,120376.46886046659,simulated
mixed_70p30d,2,2,2.0,5.0,200,120711.9136921132,255968.10870121839,263689.11956558254,23.335133099892026,23.886028854619887,23.886028854619887,124440.1012599922,257645.1532960038,0.5340090017358579,86.80850332218107,0.010680180034717159,0.08449655125408753,0.9954428607035452,13.983682192499396,120376.46886046659,simulated
mixed_70p30d,2,2,2.0,20.0,200,120726.9136921132,255983.1087012184,263704.1195655826,23.335133099892026,23.886028854619887,23.886028854619887,124455.1012599922,257660.15329600376,0.5339876151713591,86.80502672225613,0.010679752303427182,0.08449316724569544,0.995402994141603,13.983682192499396,120376.46886046659,simulated
mixed_70p30d,2,2,2.0,50.0,200,120756.9136921132,256013.1087012184,263734.1195655826,23.335133099892026,23.886028854619887,23.886028854619887,124485.1012599922,257690.15329600373,0.5339448471810222,86.79807435774697,0.010678896943620444,0.08448640004200453,0.9953232705966646,13.983682192499396,120376.46886046657,simulated
mixed_70p30d,2,2,4.0,0.0,200,145762.63720685767,301573.79282793385,313509.29120506556,23.335133099892026,23.886028854619887,23.886028854619887,149490.82477473665,303853.7393650859,0.5336456950097643,86.7494441807873,0.008004685425146466,0.08443906502201554,0.9947656228937707,84.83061051542977,145361.34544688812,simulated
mixed_70p30d,2,2,4.0,5.0,200,145767.63720685767,301578.79282793385,313514.29120506556,23.335133099892026,23.886028854619887,23.886028854619887,149495.82477473665,303858.7393650859,0.5336385756615496,86.7482868595415,0.008004578634923242,0.08443793852345582,0.9947523517610177,84.83061051542977,145361.34544688812,simulated
mixed_70p30d,2,2,4.0,20.0,200,145782.63720685767,301593.79282793385,313529.29120506556,23.335133099892026,23.886028854619887,23.886028854619887,149510.82477473665,303873.7393650859,0.5336172187566072,86.74481508107405,0.008004258281349107,0.08443455920811241,0.9947125404872705,84.83061051542977,145361.34544688815,simulated
mixed_70p30d,2,2,4.0,50.0,200,145812.63720685767,301623.7928279338,313559.2912050655,23.335133099892026,23.886028854619887,23.886028854619887,149540.82477473665,303903.7393650859,0.5335745100746974,86.7378723577428,0.00800361765112046,0.08442780138882798,0.9946329274988022,84.83061051542977,145361.34544688812,simulated
mixed_70p30d,2,2,8.0,0.0,200,158051.22911793075,325213.3369665727,338518.3453026238,23.335133099892026,23.886028854619887,23.886028854619887,161779.41668580973,327789.68592624,0.5333206402772989,86.69660328347771,0.007999809604159483,0.08438763142487977,0.9941596903875417,4030.7968533465405,153703.97111513012,simulated
mixed_70p30d,2,2,8.0,5.0,200,158056.22911793075,325218.3369665727,338523.3453026238,23.335133099892026,23.886028854619887,23.886028854619887,161784.41668580973,327794.68592624,0.5333135295994721,86.69544737169018,0.00799970294399208,0.08438650629824054,0.994146435417205,4030.7968533465405,153703.97111513012,simulated
mixed_70p30d,2,2,8.0,20.0,200,158071.22911793075,325233.3369665727,338538.34530262375,23.335133099892026,23.886028854619887,23.886028854619887,161799.41668580973,327809.68592624,0.5332921987036122,86.6919798212592,0.007999382980554182,0.08438313109832918,0.9941066726268268,4030.7968533465405,153703.97111513012,simulated
mixed_70p30d,2,2,8.0,50.0,200,158101.22911793075,325263.3369665727,338568.3453026238,23.335133099892026,23.886028854619887,23.886028854619887,161829.41668580973,327839.68592624005,0.533249542030503,86.68504555247857,0.007998743130457547,0.08437638150842719,0.9940271565876406,4030.7968533465405,153703.97111513012,simulated
mixed_70p30d,3,1,0.5,0.0,200,148121.63243221937,326731.10896301625,338690.1145995623,23.335133099892026,23.886028854619887,23.886028854619887,151849.82000009835,328757.5242874894,0.26697135868898414,43.39886406848127,0.010678854347559366,0.028162021014014417,0.9953193004440306,0.0,147805.17128276525,simulated
mixed_70p30d,3,1,0.5,5.0,200,148126.63243221937,326736.1089630162,338695.1145995623,23.335133099892026,23.886028854619887,23.886028854619887,151854.82000009835,328762.5242874894,0.2669695768582176,43.39857441407185,0.010678783074328704,0.028161833053943576,0.9953126574447186,0.0,147805.17128276525,simulated
mixed_70p30d,3,1,0.5,20.0,200,148141.63243221937,326751.1089630162,338710.1145995623,23.335133099892026,23.886028854619887,23.886028854619887,151869.82000009835,328777.5242874894,0.2669642315086234,43.39770547404183,0.010678569260344937,0.028161269188784643,0.9952927289788157,0.0,147805.17128276525,simulated
mixed_70p30d,3,1,0.5,50.0,200,148171.63243221937,326781.1089630162,338740.11459956225,23.335133099892026,23.886028854619887,23.886028854619887,151899.82000009832,328807.52428748936,0.26695354145156713,43.39596769836675,0.010678141658062685,0.028160141526203386,0.9952528744409986,0.0,147805.17128276522,simulated
mixed_70p30d,3,1,1.0,0.0,200,244214.3241284781,512753.4716018356,528754.0298870868,23.335133099892026,23.886028854619887,23.886028854619887,247942.51169635705,514256.28830264526,0.2681198597627674,43.58556440303548,0.0026811985976276744,0.028283173004000666,0.9996011278690052,0.0,243897.86297902407,simulated
